mus_vis_2015;nights_2015;beds_2015;stud_high_edu_2015;low_edu_2015;mid_edu_2015;high_edu_2015;prop_workers_mid_edu;prop_pop_high_edu;private_house_2015;pop_private_house_2015;one_pers_house_2015;n_house_2015;housholds_living;households_owning;av_size_house;pop;pop_male;pop_fem;pop_04;pop_over75;total_employment;unemployment_rate
48.350;38.645;409;68;15.024;16.459;5.617;44,2;15,1;23.400;52.984;7.565;24.686;21.848;15.335;2,3;70.419;33.902;36.517;3.311;7.955;24.319;7,6
5.574;21.576;541;9;19.033;8.037;2.935;26,5;9,7;27.790;75.662;5.475;40.084;26.774;19.777;2,7;58.295;28.736;29.559;3.061;4.154;8.753;19,4
6.300;251.088;1.449;30;10.427;11.833;5.566;42;19,7;17.701;39.156;5.711;18.508;16.917;11.937;2,2;52.850;25.719;27.131;2.562;5.850;25.805;7,3
4.783;30.912;254;0;22.022;14.396;4.211;35,5;10,4;20.467;55.243;4.282;24.172;19.547;12.204;2,7;76.723;37.574;39.149;3.758;5.602;11.795;26,4
57.564;:;9.622;304;6.393;9.319;5.653;44,1;26,7;26.988;54.008;7.834;34.664;21.180;16.168;2;39.437;18.807;20.630;1.703;4.932;12.470;9,1
30.686;35.863;556;0;16.357;9.752;3.151;33,4;10,8;16.988;40.688;4.693;17.722;16.038;11.156;2,4;55.615;27.110;28.505;2.831;4.568;6.954;28,6
36.155;240.134;3.277;0;10.207;13.818;4.281;48,5;15;99.859;237.698;33.159;116.472;99.078;69.908;2,4;53.986;26.735;27.251;2.611;4.708;8.933;15,6
158.090;431.887;2.197;0;9.357;9.249;2.839;42,2;13;76.911;190.280;18.737;81.036;72.548;55.409;2,5;41.064;19.986;21.078;1.853;4.565;17.014;8,6
295.804;659.703;4.818;24.149;53.697;51.389;28.424;38,3;21,2;90.349;190.545;31.361;94.523;81.833;54.574;2,1;240.414;115.052;125.362;10.029;25.271;39.386;23,7
89.717;320.360;3.615;743;50.006;39.433;13.336;38,1;12,9;72.058;158.088;22.589;73.279;68.644;49.259;2,2;191.002;92.360;98.642;9.065;21.077;74.393;10,1
